Crop,Moisture,Temperature,pH,EC,Nitrogen,Phosphorus,Potassium,Status
WHEAT,42,18,6.3,0.7,60,30,50,Normal
WHEAT,60,23,7.2,1.6,105,60,100,Normal
WHEAT,30,20,6.8,1.0,80,40,70,Moisture Low
WHEAT,50,20,5.5,1.0,80,40,70,pH Low
WHEAT,50,20,8.0,1.0,80,40,70,pH High
WHEAT,50,20,6.8,2.5,80,40,70,EC High
WHEAT,50,20,6.8,1.0,30,40,70,Nitrogen Low
WHEAT,50,20,6.8,1.0,80,10,70,Phosphorus Low
WHEAT,50,20,6.8,1.0,80,40,150,Potassium High
RED_GRAM,40,26,6.5,1.0,50,35,60,Optimal
RED_GRAM,32,23,6.0,0.6,35,25,45,Normal
RED_GRAM,50,30,7.1,1.5,70,50,85,Normal
RED_GRAM,20,26,6.5,1.0,50,35,60,Moisture Low
RED_GRAM,40,26,5.0,1.0,50,35,60,pH Low
RED_GRAM,40,26,8.0,1.0,50,35,60,pH High
RED_GRAM,40,26,6.5,2.5,50,35,60,EC High
RED_GRAM,40,26,6.5,1.0,10,35,60,Nitrogen Low
RED_GRAM,40,26,6.5,1.0,50,5,60,Phosphorus Low
RED_GRAM,40,26,6.5,1.0,50,35,130,Potassium High
GREEN_GRAM,40,27,6.5,1.0,50,35,60,Optimal
GREEN_GRAM,32,24,6.1,0.6,35,25,45,Normal
GREEN_GRAM,50,30,7.1,1.5,70,50,85,Normal
GREEN_GRAM,20,27,6.5,1.0,50,35,60,Moisture Low
GREEN_GRAM,40,27,5.5,1.0,50,35,60,pH Low
GREEN_GRAM,40,27,8.0,1.0,50,35,60,pH High
GREEN_GRAM,40,27,6.5,2.5,50,35,60,EC High
GREEN_GRAM,40,27,6.5,1.0,10,35,60,Nitrogen Low
GREEN_GRAM,40,27,6.5,1.0,50,5,60,Phosphorus Low
GREEN_GRAM,40,27,6.5,1.0,50,35,130,Potassium High
BLACK_GRAM,40,27,6.5,1.0,50,35,60,Optimal
BLACK_GRAM,32,24,6.1,0.6,35,25,45,Normal
BLACK_GRAM,50,30,7.1,1.5,70,50,85,Normal
BLACK_GRAM,20,27,6.5,1.0,50,35,60,Moisture Low
BLACK_GRAM,40,27,5.5,1.0,50,35,60,pH Low
BLACK_GRAM,40,27,8.0,1.0,50,35,60,pH High
BLACK_GRAM,40,27,6.5,2.5,50,35,60,EC High
BLACK_GRAM,40,27,6.5,1.0,10,35,60,Nitrogen Low
BLACK_GRAM,40,27,6.5,1.0,50,5,60,Phosphorus Low
BLACK_GRAM,40,27,6.5,1.0,50,35,130,Potassium High
BENGAL_GRAM,38,23,7.0,1.0,50,40,60,Optimal
BENGAL_GRAM,30,20,6.4,0.6,35,30,45,Normal
BENGAL_GRAM,45,26,7.6,1.5,70,55,85,Normal
BENGAL_GRAM,20,23,7.0,1.0,50,40,60,Moisture Low
BENGAL_GRAM,38,23,5.5,1.0,50,40,60,pH Low
BENGAL_GRAM,38,23,8.5,1.0,50,40,60,pH High
BENGAL_GRAM,38,23,7.0,2.5,50,40,60,EC High
BENGAL_GRAM,38,23,7.0,1.0,10,40,60,Nitrogen Low
BENGAL_GRAM,38,23,7.0,1.0,50,5,60,Phosphorus Low
BENGAL_GRAM,38,23,7.0,1.0,50,40,130,Potassium High
GROUNDNUT,48,27,6.2,1.0,50,40,75,Optimal
GROUNDNUT,40,24,5.8,0.6,35,30,55,Normal
GROUNDNUT,57,30,6.8,1.5,70,60,105,Normal
GROUNDNUT,30,27,6.2,1.0,50,40,75,Moisture Low
GROUNDNUT,48,27,5.0,1.0,50,40,75,pH Low
GROUNDNUT,48,27,7.5,1.0,50,40,75,pH High
GROUNDNUT,48,27,6.2,2.5,50,40,75,EC High
GROUNDNUT,48,27,6.2,1.0,15,40,75,Nitrogen Low
GROUNDNUT,48,27,6.2,1.0,50,5,75,Phosphorus Low
GROUNDNUT,48,27,6.2,1.0,50,40,150,Potassium High
SUNFLOWER,45,26,6.5,1.1,65,40,80,Optimal
SUNFLOWER,37,23,6.0,0.7,45,30,60,Normal
SUNFLOWER,55,30,7.2,1.8,90,60,110,Normal
SUNFLOWER,25,26,6.5,1.1,65,40,80,Moisture Low
SUNFLOWER,45,26,5.5,1.1,65,40,80,pH Low
SUNFLOWER,45,26,8.0,1.1,65,40,80,pH High
SUNFLOWER,45,26,6.5,3.0,65,40,80,EC High
SUNFLOWER,45,26,6.5,1.1,15,40,80,Nitrogen Low
SUNFLOWER,45,26,6.5,1.1,65,5,80,Phosphorus Low
SUNFLOWER,45,26,6.5,1.1,65,40,160,Potassium High
SOYBEAN,50,26,6.5,1.0,55,40,75,Optimal
SOYBEAN,42,23,6.1,0.6,40,30,55,Normal
SOYBEAN,60,30,7.2,1.5,75,60,105,Normal
SOYBEAN,30,26,6.5,1.0,55,40,75,Moisture Low
SOYBEAN,50,26,5.5,1.0,55,40,75,pH Low
SOYBEAN,50,26,8.0,1.0,55,40,75,pH High
SOYBEAN,50,26,6.5,2.5,55,40,75,EC High
SOYBEAN,50,26,6.5,1.0,10,40,75,Nitrogen Low
SOYBEAN,50,26,6.5,1.0,55,5,75,Phosphorus Low
SOYBEAN,50,26,6.5,1.0,55,40,150,Potassium High
SUGARCANE,65,28,6.8,1.2,100,45,110,Optimal
SUGARCANE,58,24,6.2,0.8,75,30,80,Normal
SUGARCANE,75,32,7.2,2.0,135,65,150,Normal
SUGARCANE,45,28,6.8,1.2,100,45,110,Moisture Low
SUGARCANE,65,28,5.5,1.2,100,45,110,pH Low
SUGARCANE,65,28,8.0,1.2,100,45,110,pH High
SUGARCANE,65,28,6.8,3.0,100,45,110,EC High
SUGARCANE,65,28,6.8,1.2,30,45,110,Nitrogen Low
SUGARCANE,65,28,6.8,1.2,100,10,110,Phosphorus Low
SUGARCANE,65,28,6.8,1.2,100,45,220,Potassium High
COTTON,45,27,6.5,1.2,75,40,90,Optimal
COTTON,37,24,6.0,0.8,55,30,65,Normal
COTTON,55,30,7.5,2.0,100,60,125,Normal
COTTON,25,27,6.5,1.2,75,40,90,Moisture Low
COTTON,45,27,5.0,1.2,75,40,90,pH Low
COTTON,45,27,8.5,1.2,75,40,90,pH High
COTTON,45,27,6.5,3.0,75,40,90,EC High
COTTON,45,27,6.5,1.2,25,40,90,Nitrogen Low
COTTON,45,27,6.5,1.2,75,5,90,Phosphorus Low
COTTON,45,27,6.5,1.2,75,40,180,Potassium High
ONION,50,22,6.5,1.2,75,40,90,Optimal
ONION,42,18,6.0,0.8,55,30,65,Normal
ONION,60,27,7.2,2.0,100,60,125,Normal
ONION,30,22,6.5,1.2,75,40,90,Moisture Low
ONION,50,22,5.5,1.2,75,40,90,pH Low
ONION,50,22,8.0,1.2,75,40,90,pH High
ONION,50,22,6.5,3.0,75,40,90,EC High
ONION,50,22,6.5,1.2,25,40,90,Nitrogen Low
ONION,50,22,6.5,1.2,75,5,90,Phosphorus Low
ONION,50,22,6.5,1.2,75,40,180,Potassium High
POTATO,60,20,5.8,1.2,80,45,100,Optimal
POTATO,50,17,5.4,0.8,60,30,70,Normal
POTATO,70,23,6.3,2.0,110,65,140,Normal
POTATO,40,20,5.8,1.2,80,45,100,Moisture Low
POTATO,60,20,4.5,1.2,80,45,100,pH Low
POTATO,60,20,7.0,1.2,80,45,100,pH High
POTATO,60,20,5.8,3.0,80,45,100,EC High
POTATO,60,20,5.8,1.2,25,45,100,Nitrogen Low
POTATO,60,20,5.8,1.2,80,10,100,Phosphorus Low
POTATO,60,20,5.8,1.2,80,45,200,Potassium High
BRINJAL,55,27,6.2,1.2,80,45,95,Optimal
BRINJAL,45,24,5.8,0.8,60,30,70,Normal
BRINJAL,65,30,6.8,2.0,110,65,135,Normal
BRINJAL,35,27,6.2,1.2,80,45,95,Moisture Low
BRINJAL,55,27,5.0,1.2,80,45,95,pH Low
BRINJAL,55,27,7.5,1.2,80,45,95,pH High
BRINJAL,55,27,6.2,3.0,80,45,95,EC High
BRINJAL,55,27,6.2,1.2,25,45,95,Nitrogen Low
BRINJAL,55,27,6.2,1.2,80,10,95,Phosphorus Low
BRINJAL,55,27,6.2,1.2,80,45,180,Potassium High
CHILLI,50,26,6.2,1.2,75,45,95,Optimal
CHILLI,42,23,5.8,0.8,55,30,70,Normal
CHILLI,60,29,6.8,2.0,100,65,135,Normal
CHILLI,30,26,6.2,1.2,75,45,95,Moisture Low
CHILLI,50,26,5.0,1.2,75,45,95,pH Low
CHILLI,50,26,7.5,1.2,75,45,95,pH High
CHILLI,50,26,6.2,3.0,75,45,95,EC High
CHILLI,50,26,6.2,1.2,25,45,95,Nitrogen Low
CHILLI,50,26,6.2,1.2,75,10,95,Phosphorus Low
CHILLI,50,26,6.2,1.2,75,45,190,Potassium High
OKRA,50,28,6.5,1.2,75,40,85,Optimal
OKRA,42,25,6.1,0.8,55,30,65,Normal
OKRA,60,32,7.2,2.0,100,60,120,Normal
OKRA,30,28,6.5,1.2,75,40,85,Moisture Low
OKRA,50,28,5.5,1.2,75,40,85,pH Low
OKRA,50,28,8.0,1.2,75,40,85,pH High
OKRA,50,28,6.5,3.0,75,40,85,EC High
OKRA,50,28,6.5,1.2,25,40,85,Nitrogen Low
OKRA,50,28,6.5,1.2,75,5,85,Phosphorus Low
OKRA,50,28,6.5,1.2,75,40,170,Potassium High
CABBAGE,60,20,6.5,1.2,90,45,100,Optimal
CABBAGE,50,17,6.1,0.8,70,30,75,Normal
CABBAGE,70,23,7.2,2.0,120,65,140,Normal
CABBAGE,40,20,6.5,1.2,90,45,100,Moisture Low
CABBAGE,60,20,5.5,1.2,90,45,100,pH Low
CABBAGE,60,20,8.0,1.2,90,45,100,pH High
CABBAGE,60,20,6.5,3.0,90,45,100,EC High
CABBAGE,60,20,6.5,1.2,30,45,100,Nitrogen Low
CABBAGE,60,20,6.5,1.2,90,5,100,Phosphorus Low
CABBAGE,60,20,6.5,1.2,90,45,200,Potassium High
CAULIFLOWER,60,20,6.5,1.2,90,45,100,Optimal
CAULIFLOWER,50,17,6.1,0.8,70,30,75,Normal
CAULIFLOWER,70,23,7.2,2.0,120,65,140,Normal
CAULIFLOWER,40,20,6.5,1.2,90,45,100,Moisture Low
CAULIFLOWER,60,20,5.5,1.2,90,45,100,pH Low
CAULIFLOWER,60,20,8.0,1.2,90,45,100,pH High
CAULIFLOWER,60,20,6.5,3.0,90,45,100,EC High
CAULIFLOWER,60,20,6.5,1.2,30,45,100,Nitrogen Low
CAULIFLOWER,60,20,6.5,1.2,90,5,100,Phosphorus Low
CAULIFLOWER,60,20,6.5,1.2,90,45,200,Potassium High
CARROT,55,20,6.2,1.0,60,40,80,Optimal
CARROT,45,17,5.8,0.6,45,30,60,Normal
CARROT,65,23,6.7,1.5,85,60,110,Normal
CARROT,35,20,6.2,1.0,60,40,80,Moisture Low
CARROT,55,20,5.0,1.0,60,40,80,pH Low
CARROT,55,20,7.5,1.0,60,40,80,pH High
CARROT,55,20,2.5,1.0,60,40,80,EC High
CARROT,55,20,6.2,1.0,15,40,80,Nitrogen Low
CARROT,55,20,6.2,1.0,60,5,80,Phosphorus Low
CARROT,55,20,6.2,1.0,60,40,160,Potassium High
BEANS,55,24,6.5,1.0,55,40,70,Optimal
BEANS,45,21,6.1,0.6,40,30,50,Normal
BEANS,65,28,7.2,1.5,75,60,100,Normal
BEANS,35,24,6.5,1.0,55,40,70,Moisture Low
BEANS,55,24,5.5,1.0,55,40,70,pH Low
BEANS,55,24,8.0,1.0,55,40,70,pH High
BEANS,55,24,6.5,2.5,55,40,70,EC High
BEANS,55,24,6.5,1.0,10,40,70,Nitrogen Low
BEANS,55,24,6.5,1.0,55,5,70,Phosphorus Low
BEANS,55,24,6.5,1.0,55,40,140,Potassium High
CUCUMBER,60,26,6.2,1.2,80,45,95,Optimal
CUCUMBER,50,23,5.8,0.8,60,30,70,Normal
CUCUMBER,70,30,6.8,2.0,110,65,135,Normal
CUCUMBER,40,26,6.2,1.2,80,45,95,Moisture Low
CUCUMBER,60,26,5.0,1.2,80,45,95,pH Low
CUCUMBER,60,26,7.5,1.2,80,45,95,pH High
CUCUMBER,60,26,6.2,3.0,80,45,95,EC High
CUCUMBER,60,26,6.2,1.2,25,45,95,Nitrogen Low
CUCUMBER,60,26,6.2,1.2,80,10,95,Phosphorus Low
CUCUMBER,60,26,6.2,1.2,80,45,190,Potassium High
WATERMELON,50,28,6.5,1.2,65,45,100,Optimal
WATERMELON,42,25,6.0,0.8,45,30,75,Normal
WATERMELON,60,32,7.2,2.0,90,65,140,Normal
WATERMELON,30,28,6.5,1.2,65,45,100,Moisture Low
WATERMELON,50,28,5.0,1.2,65,45,100,pH Low
WATERMELON,50,28,8.0,1.2,65,45,100,pH High
WATERMELON,50,28,6.5,3.0,65,45,100,EC High
WATERMELON,50,28,6.5,1.2,15,45,100,Nitrogen Low
WATERMELON,50,28,6.5,1.2,65,5,100,Phosphorus Low
WATERMELON,50,28,6.5,1.2,65,45,200,Potassium High
BANANA,65,28,6.5,1.2,110,45,130,Optimal
BANANA,58,24,6.1,0.8,80,30,100,Normal
BANANA,75,32,7.2,2.0,150,65,180,Normal
BANANA,45,28,6.5,1.2,110,45,130,Moisture Low
BANANA,65,28,5.5,1.2,110,45,130,pH Low
BANANA,65,28,8.0,1.2,110,45,130,pH High
BANANA,65,28,6.5,3.0,110,45,130,EC High
BANANA,65,28,6.5,1.2,40,45,130,Nitrogen Low
BANANA,65,28,6.5,1.2,110,5,130,Phosphorus Low
BANANA,65,28,6.5,1.2,110,45,250,Potassium High
MANGO,45,27,6.5,1.0,70,40,90,Optimal
MANGO,37,23,6.0,0.6,50,30,65,Normal
MANGO,55,32,7.2,1.5,100,60,125,Normal
MANGO,25,27,6.5,1.0,70,40,90,Moisture Low
MANGO,45,27,5.0,1.0,70,40,90,pH Low
MANGO,45,27,8.0,1.0,70,40,90,pH High
MANGO,45,27,6.5,2.5,70,40,90,EC High
MANGO,45,27,6.5,1.0,15,40,90,Nitrogen Low
MANGO,45,27,6.5,1.0,70,5,90,Phosphorus Low
MANGO,45,27,6.5,1.0,70,40,180,Potassium High
POMEGRANATE,45,27,6.8,1.2,70,40,100,Optimal
POMEGRANATE,37,23,6.3,0.8,50,30,75,Normal
POMEGRANATE,55,32,7.2,2.0,100,60,140,Normal
POMEGRANATE,25,27,6.8,1.2,70,40,100,Moisture Low
POMEGRANATE,45,27,5.5,1.2,70,40,100,pH Low
POMEGRANATE,45,27,8.0,1.2,70,40,100,pH High
POMEGRANATE,45,27,6.8,3.0,70,40,100,EC High
POMEGRANATE,45,27,6.8,1.2,15,40,100,Nitrogen Low
POMEGRANATE,45,27,6.8,1.2,70,5,100,Phosphorus Low
POMEGRANATE,45,27,6.8,1.2,70,40,200,Potassium High
GRAPES,45,27,6.8,1.0,65,40,100,Optimal
GRAPES,37,23,6.3,0.6,45,30,75,Normal
GRAPES,55,32,7.2,1.5,90,60,140,Normal
GRAPES,25,27,6.8,1.0,65,40,100,Moisture Low
GRAPES,45,27,5.5,1.0,65,40,100,pH Low
GRAPES,45,27,8.0,1.0,65,40,100,pH High
GRAPES,45,27,6.8,2.5,65,40,100,EC High
GRAPES,45,27,6.8,1.0,15,40,100,Nitrogen Low
GRAPES,45,27,6.8,1.0,65,5,100,Phosphorus Low
GRAPES,45,27,6.8,1.0,65,40,200,Potassium High
COCONUT,60,28,6.2,1.0,100,45,130,Optimal
COCONUT,52,24,5.8,0.6,75,30,100,Normal
COCONUT,70,32,6.8,1.5,135,65,180,Normal
COCONUT,40,28,6.2,1.0,100,45,130,Moisture Low
COCONUT,60,28,5.0,1.0,100,45,130,pH Low
COCONUT,60,28,7.5,1.0,100,45,130,pH High
COCONUT,60,28,6.2,2.5,100,45,130,EC High
COCONUT,60,28,6.2,1.0,25,45,130,Nitrogen Low
COCONUT,60,28,6.2,1.0,100,5,130,Phosphorus Low
COCONUT,60,28,6.2,1.0,100,45,250,Potassium High
ARECANUT,65,27,6.2,1.0,90,40,120,Optimal
ARECANUT,57,23,5.8,0.6,65,30,90,Normal
ARECANUT,75,32,6.8,1.5,125,60,170,Normal
ARECANUT,45,27,6.2,1.0,90,40,120,Moisture Low
ARECANUT,65,27,5.0,1.0,90,40,120,pH Low
ARECANUT,65,27,7.5,1.0,90,40,120,pH High
ARECANUT,65,27,6.2,2.5,90,40,120,EC High
ARECANUT,65,27,6.2,1.0,25,40,120,Nitrogen Low
ARECANUT,65,27,6.2,1.0,90,5,120,Phosphorus Low
ARECANUT,65,27,6.2,1.0,90,40,250,Potassium High
COFFEE,60,24,5.8,0.7,85,40,110,Optimal
COFFEE,52,21,5.4,0.5,65,30,80,Normal
COFFEE,70,28,6.3,1.2,115,60,150,Normal
COFFEE,40,24,5.8,0.7,85,40,110,Moisture Low
COFFEE,60,24,4.5,0.7,85,40,110,pH Low
COFFEE,60,24,7.0,0.7,85,40,110,pH High
COFFEE,60,24,5.8,2.0,85,40,110,EC High
COFFEE,60,24,5.8,0.7,25,40,110,Nitrogen Low
COFFEE,60,24,5.8,0.7,85,5,110,Phosphorus Low
COFFEE,60,24,5.8,0.7,85,40,220,Potassium High
BLACK_PEPPER,65,26,5.8,0.7,80,35,100,Optimal
BLACK_PEPPER,57,23,5.4,0.5,60,25,75,Normal
BLACK_PEPPER,75,30,6.3,1.2,110,50,135,Normal
BLACK_PEPPER,45,26,5.8,0.7,80,35,100,Moisture Low
BLACK_PEPPER,65,26,4.5,0.7,80,35,100,pH Low
BLACK_PEPPER,65,26,7.0,0.7,80,35,100,pH High
BLACK_PEPPER,65,26,5.8,2.0,80,35,100,EC High
BLACK_PEPPER,65,26,5.8,0.7,20,35,100,Nitrogen Low
BLACK_PEPPER,65,26,5.8,0.7,80,5,100,Phosphorus Low
BLACK_PEPPER,65,26,5.8,0.7,80,35,200,Potassium High
CARDAMOM,68,24,5.8,0.7,80,35,90,Optimal
CARDAMOM,60,21,5.4,0.5,60,25,70,Normal
CARDAMOM,75,28,6.3,1.2,110,50,125,Normal
CARDAMOM,48,24,5.8,0.7,80,35,90,Moisture Low
CARDAMOM,68,24,4.5,0.7,80,35,90,pH Low
CARDAMOM,68,24,7.0,0.7,80,35,90,pH High
CARDAMOM,68,24,5.8,2.0,80,35,90,EC High
CARDAMOM,68,24,5.8,0.7,20,35,90,Nitrogen Low
CARDAMOM,68,24,5.8,0.7,80,5,90,Phosphorus Low
CARDAMOM,68,24,5.8,0.7,80,35,190,Potassium High
GINGER,62,26,6.2,1.0,75,40,95,Optimal
GINGER,54,23,5.8,0.6,55,30,70,Normal
GINGER,70,30,6.8,1.5,105,60,135,Normal
GINGER,42,26,6.2,1.0,75,40,95,Moisture Low
GINGER,62,26,5.0,1.0,75,40,95,pH Low
GINGER,62,26,7.5,1.0,75,40,95,pH High
GINGER,62,26,6.2,2.5,75,40,95,EC High
GINGER,62,26,6.2,1.0,25,40,95,Nitrogen Low
GINGER,62,26,6.2,1.0,75,5,95,Phosphorus Low
GINGER,62,26,6.2,1.0,75,40,190,Potassium High
TURMERIC,62,26,6.5,1.0,80,40,100,Optimal
TURMERIC,54,23,6.0,0.6,60,30,75,Normal
TURMERIC,70,30,7.2,1.5,110,60,140,Normal
TURMERIC,42,26,6.5,1.0,80,40,100,Moisture Low
TURMERIC,62,26,5.0,1.0,80,40,100,pH Low
TURMERIC,62,26,8.0,1.0,80,40,100,pH High
TURMERIC,62,26,6.5,2.5,80,40,100,EC High
TURMERIC,62,26,6.5,1.0,25,40,100,Nitrogen Low
TURMERIC,62,26,6.5,1.0,80,5,100,Phosphorus Low
TURMERIC,62,26,6.5,1.0,80,40,200,Potassium High
SESAME,38,29,6.5,1.0,55,35,65,Optimal
SESAME,32,26,6.0,0.6,40,25,50,Normal
SESAME,47,33,7.5,1.5,75,50,90,Normal
SESAME,20,29,6.5,1.0,55,35,65,Moisture Low
SESAME,38,29,5.0,1.0,55,35,65,pH Low
SESAME,38,29,8.5,1.0,55,35,65,pH High
SESAME,38,29,6.5,2.5,55,35,65,EC High
SESAME,38,29,6.5,1.0,10,35,65,Nitrogen Low
SESAME,38,29,6.5,1.0,55,5,65,Phosphorus Low
SESAME,38,29,6.5,1.0,55,35,130,Potassium High
CASTOR,45,27,6.5,1.1,70,35,80,Optimal
CASTOR,37,23,6.0,0.7,50,25,60,Normal
CASTOR,55,32,7.3,1.8,95,50,110,Normal
CASTOR,25,27,6.5,1.1,70,35,80,Moisture Low
CASTOR,45,27,5.0,1.1,70,35,80,pH Low
CASTOR,45,27,8.5,1.1,70,35,80,pH High
CASTOR,45,27,6.5,3.0,70,35,80,EC High
CASTOR,45,27,6.5,1.1,15,35,80,Nitrogen Low
CASTOR,45,27,6.5,1.1,70,5,80,Phosphorus Low
CASTOR,45,27,6.5,1.1,70,35,160,Potassium High
FINGER_MILLET,45,26,6.2,1.0,65,35,70,Optimal
FINGER_MILLET,35,23,5.8,0.6,45,25,50,Normal
FINGER_MILLET,55,30,7.1,1.5,85,50,100,Normal
FINGER_MILLET,25,26,6.2,1.0,65,35,70,Moisture Low
FINGER_MILLET,45,26,5.0,1.0,65,35,70,pH Low
FINGER_MILLET,45,26,8.0,1.0,65,35,70,pH High
FINGER_MILLET,45,26,6.2,2.5,65,35,70,EC High
FINGER_MILLET,45,26,6.2,1.0,15,35,70,Nitrogen Low
FINGER_MILLET,45,26,6.2,1.0,65,5,70,Phosphorus Low
FINGER_MILLET,45,26,6.2,1.0,65,35,140,Potassium High
